Date,Hospital,Drug,Opening_Balance,Quantity_Received,Consumption,Losses_Adjustments,Closing_Balance,Days_Out_of_Stock
2020-01-01,Tatale District Hospital,Amlodipine 5mg,1435,0,626,18,791,0
2020-02-01,Tatale District Hospital,Amlodipine 5mg,791,0,649,11,131,9
2020-03-01,Tatale District Hospital,Amlodipine 5mg,131,1947,646,2,1430,0
2020-04-01,Tatale District Hospital,Amlodipine 5mg,1430,0,595,21,814,0
2020-05-01,Tatale District Hospital,Amlodipine 5mg,814,0,686,2,126,7
2020-06-01,Tatale District Hospital,Amlodipine 5mg,126,2082,685,1,1522,0
2020-07-01,Tatale District Hospital,Amlodipine 5mg,1522,0,671,0,851,0
2020-08-01,Tatale District Hospital,Amlodipine 5mg,851,0,598,12,241,0
2020-09-01,Tatale District Hospital,Amlodipine 5mg,241,1870,512,0,1599,0
2020-10-01,Tatale District Hospital,Amlodipine 5mg,1599,1621,475,31,2714,0
2020-11-01,Tatale District Hospital,Amlodipine 5mg,2714,0,553,31,2130,0
2020-12-01,Tatale District Hospital,Amlodipine 5mg,2130,1597,611,4,3112,0
2021-01-01,Tatale District Hospital,Amlodipine 5mg,3112,0,673,40,2399,0
2021-02-01,Tatale District Hospital,Amlodipine 5mg,2399,1697,610,32,3454,0
2021-03-01,Tatale District Hospital,Amlodipine 5mg,3454,0,660,64,2730,0
2021-04-01,Tatale District Hospital,Amlodipine 5mg,2730,1865,608,49,3938,0
2021-05-01,Tatale District Hospital,Amlodipine 5mg,3938,0,709,33,3196,0
2021-06-01,Tatale District Hospital,Amlodipine 5mg,3196,1519,703,53,3959,0
2021-07-01,Tatale District Hospital,Amlodipine 5mg,3959,0,586,65,3308,0
2021-08-01,Tatale District Hospital,Amlodipine 5mg,3308,1767,611,0,4464,0
2021-09-01,Tatale District Hospital,Amlodipine 5mg,4464,1750,502,68,5644,0
2021-10-01,Tatale District Hospital,Amlodipine 5mg,5644,0,571,46,5027,0
2021-11-01,Tatale District Hospital,Amlodipine 5mg,5027,0,511,55,4461,0
2021-12-01,Tatale District Hospital,Amlodipine 5mg,4461,1571,553,26,5453,0
2022-01-01,Tatale District Hospital,Amlodipine 5mg,5453,0,603,79,4771,0
2022-02-01,Tatale District Hospital,Amlodipine 5mg,4771,0,731,81,3959,0
2022-03-01,Tatale District Hospital,Amlodipine 5mg,3959,1800,747,5,5007,0
2022-04-01,Tatale District Hospital,Amlodipine 5mg,5007,1997,643,89,6272,0
2022-05-01,Tatale District Hospital,Amlodipine 5mg,6272,0,619,27,5626,0
